Stimulus;Q_ID;Question;Q_Importance;Participant_ID;Group (Annotator-1);Subgroup;Annotator-2
plan3;Q3;Are you able to bring the recycling bin out to the curb on the date it is supposed to be picked up?;3.0;R_1qZd0OdDkqtx7Pj;what-abilities;extra-ability;what-abilities
vid13;Q1;How long did you wait until pouring the tea as it didn't look like it had stood there long enough.;2.0;R_2OjBS1e8DUXpD1S;time;how-long;time
Vid2;Q3;How long will the task take?;4.0;R_2SH4lt3FWf5MtSp;time;how-long;time
Vid2;Q1;Why did you pack the orange instead of a another fruit?;5.0;R_6ALntt8JbKZguNd;why;why-not-alternative;why
vid9;Q3;How do you know how to fold the shirt in the correct way?;4.0;R_2y0X8tivOMyZvKy;how-did-you-know;steps-to-take;how-did-you-know
vid10;Q2;How long does this task take you?;4.0;R_2y0X8tivOMyZvKy;time;how-long;time
plan1;Q2;Was your battery low prior to returning to the charging station;3.0;R_8aY3lQuJu3gZP7e;technical-details;battery-status;technical-details
Vid1;Q4;Don't we need salad dressing?;3.0;R_2ROLkn5dyU92blU;mental-state;check-understanding/beliefs;self/task-assessment
vid11;Q2;Did the cat eat all of its food?;4.0;R_6ozSMtOx9GulNFI;environment-state;pets;environment-state
vid15;Q2;What did you season the chicken with?;2.0;R_22omduvgKLeuX89;execution-details;what-objects;execution-details
vid12;Q2;Do you see what you are doing?;3.0;R_22KVSX5FFfCsOu9;technical-details;how-does-it-work;technical-details
plan5;Q3;How did you decide what tasks you would do today? ;4.0;R_31hTKmGvBd5emgZ;how-did-you-decide;task-priority;how-did-you-decide
Vid3;Q3;What items I need to stock up in your opinion?;3.0;R_2BnicD802ALgCFk;future-actions;what-needs-to-be-done;future-actions
vid11;Q3;Where is the cat?;5.0;R_2qebcIGVbURSLgY;environment-state;pets;environment-state
vid10;Q3;What factors do you take into consideration when performing your tasks?;4.0;R_2dvdoUcNnhE1r5z;how-did-you-decide;steps-to-take;technical-details
plan2;Q3;How did you decide how many tasks you can do today?;4.0;R_6ALntt8JbKZguNd;how-did-you-decide;goal-properties;how-did-you-decide
plan6;Q3;What else did you do today?;2.0;R_60Z4Qz1SF2Edyv9;execution-details;what-actions;execution-details
plan6;Q3;They should be able to answer questions about repurchasing. I would want to know if anything needs to be purchased or restocked prior to them to completing their tasks.;4.0;R_6ozSMtOx9GulNFI;future-actions;what-needs-to-be-done;future-actions
vid14;Q1;When you cracked the eggs how were you certain that no shell particles got into the mixture?;4.0;R_9znWIqnU8C5fz2Z;potential-issues;how-to-ensure-correctness;how-did-you-know
vid15;Q3;Can you prepare other meals besides chicken;4.0;R_2azSFxX9av0S6qK;what-abilities;extra-ability;what-abilities
vid6;Q3;Would you get tired from cleaning?;5.0;R_8dFUdgT1HyOkQEi;mental-state;emotions;mental-state
plan4;Q3;Do you need to be charged?;5.0;R_8kSJ29LlXGlnG5V;technical-details;battery-status;technical-details
Vid3;Q3;Do you know if there was a tomato among things that I brought to you?;3.0;R_8FRMPrjyoUkfSVw;execution-details;what-objects;execution-details
vid10;Q1;"How do you charge yourself?
";3.0;R_82R1SHDqCNP8ugw;technical-details;how-does-it-work;technical-details
