Stimulus;Q_ID;Question;Q_Importance;Participant_ID;Group;Subgroup;Participant_Robot_Experience;Participant_Avg_Attitudes_S;Participant_Average_Attitudes_P
Vid1;Q1;What salad were you making?;4.0;p1;execution-details;what-goal;7;4.6;3.4
Vid1;Q1;is the salad allergy friendly?;5.0;p2;environment-state;object-properties;3;5.6;3.4
Vid1;Q1;How did you know what the measurements were? ;3.0;p3;how-did-you-know;goal-properties;2;6.2;4.4
Vid1;Q1;Why did you not mix the salad?;2.0;p4;why;why-not-extra;3;5.0;2.8
Vid1;Q1;Are you considering adding any other ingredients other that the ones on the table?;5.0;p5;future-actions;what-next;5;6.8;6.8
Vid1;Q1;Did the robot follow a particular recipe?;2.0;p6;execution-details;what-goal;4;6.0;5.6
Vid1;Q1;Why did you utilize that ratio of ingredients in the salad?;3.0;p7;why;why-did-you;3;5.0;4.0
Vid1;Q1;how long will it take to finish the salad;2.0;p8;time;how-long;1;4.6;2.4
Vid1;Q1;What kind of ingredients did you put in the salad?;4.0;p9;execution-details;what-objects;5;6.2;4.4
Vid1;Q1;Why didn't you peel the beans?;4.0;p10;why;why-not-extra;3;6.6;4.4
Vid1;Q1;How many calories is the salad?;4.0;p11;environment-state;object-properties;1;5.6;4.8
Vid1;Q1;How exactly do you finish the salad? ;3.0;p12;future-actions;what-next;3;4.4;1.8
Vid1;Q1;How precise were you taking this task?;4.0;p13;self/task-assessment;performance;6;6.6;6.6
Vid1;Q1;Which recipe did you base this salad on? Did you create this recipe yourself?;4.0;p14;execution-details;what-goal;1;7.0;5.2
Vid1;Q1;How did you decide on the amount of what seemed to be nuts?;2.0;p15;how-did-you-decide;goal-properties;1;6.4;5.2
Vid1;Q1;Can you do that faster?;4.0;p16;what-abilities;ability-modification;4;5.6;4.0
Vid1;Q1;How did you know what ingridients went into the salad? ;4.0;p17;how-did-you-know;goal-objects;2;4.6;2.4
Vid1;Q1;how did you decide what quantities to add?;4.0;p18;how-did-you-decide;goal-properties;2;2.8;3.4
Vid1;Q1;Why did you add the nut-mix first? ;2.0;p19;why;why-action-order;3;6.2;3.0
Vid1;Q1;Why did you switch hands?;1.0;p20;why;why-did-you;1;5.4;3.8
Vid1;Q1;How does it know how much to take?;5.0;p65;how-did-you-know;goal-properties;2;4.0;2.2
Vid1;Q1;why do you switch hands or claws when grabbing the food.  ;4.0;p67;why;why-did-you;2;6.4;5.6
Vid1;Q1;What exactly do you do?;4.0;p72;execution-details;what-goal;1;6.6;6.2
Vid1;Q1;Why did you give the spoon to the other arm before scooping the nuts? ;2.0;p78;why;why-did-you;2;5.4;5.6
Vid1;Q1;Can you cope with the containers being in different positions?;4.0;p79;what-abilities;ability-modification;1;5.6;4.2
Vid1;Q1;Can you make the food faster?;4.0;p85;what-abilities;ability-modification;1;7.0;6.0
Vid1;Q1;Can other ingredients be added to the salad, or is there a limit to steps?;5.0;p95;what-abilities;ability-modification;2;5.6;5.6
Vid1;Q1;was it easy to pick up the ingredients and mix them;4.0;p96;self/task-assessment;difficulty;1;6.4;4.2
Vid1;Q2;What ingredients did you put in the salad and why?;4.0;p1;execution-details, why;what-objects, why-did-you;7;4.6;3.4
Vid1;Q2;How many ingredients did you put in the salad?;4.0;p2;execution-details;what-quantity;3;5.6;3.4
